35.29 	11 	-15.5 	
46.15 	5.9 	-20.5 	
23.35 	6.9 	1.3 	
29.86 	-10.1 	-12.7 	
43.98 	1.8 	-10.3 	
-4.89 	-7.8 	-11 	
37.47 	4.8 	-8.3 	
-28.78 	5.9 	-12.8 	
22.26 	5.7 	-8.9 	
36.38 	3.4 	-13.6 	
-0.54 	0.2 	5.9 	
-26.61 	11.5 	11.3 	
10.32 	9 	-0.2 	
40.72 	-0.7 	-18.6 	
-36.38 	-4 	15 	
-42.9 	-6 	15.1 	
8.14 	-14.4 	1.6 	
-54.84 	1 	3.1 	
-36.38 	-5.6 	7 	
-21.18 	4.6 	-7.4 	
-32.04 	-0.1 	6.3 	
14.66 	-15.9 	-0.8 	
-34.21 	6.3 	2.2 	
12.49 	4.3 	8.5 	
-47.24 	-1.2 	9.3 	
-48.33 	-3.9 	11.5 	
28.78 	-13.4 	-12.3 	
29.86 	-10 	0.7 	
39.64 	3.4 	-4.5 	
-43.98 	-2.8 	7.5 	
-48.33 	-0.8 	-4.5 	
10.32 	2.2 	7.1 	
-37.47 	3.9 	8.1 	
-45.07 	10.2 	16.6 	
-7.06 	-9.1 	-13.1 	
-1.63 	-3.8 	-15.2 	
-21.18 	-3.9 	-7.3 	
-3.8 	-4.8 	-10.6 	
-0.54 	0 	0 	
29.86 	-7.9 	-1.4 	
-4.89 	12.9 	-0.4 	
3.8 	5.1 	5.3 	
11.4 	-1.4 	2.5 	
-52.67 	-1.6 	6.9 	
-3.8 	-7 	-14.8 	
0.54 	3.4 	9.2 	
47.24 	-1 	-7.5 	
-51.58 	1.8 	0 	
-46.15 	-1.4 	6.8 	
-36.38 	6.9 	5.8 	
50.5 	-0.9 	-2 	
-30.95 	12.3 	9.7 	
10.32 	-0.9 	1.5 	
-29.86 	-1.8 	14.9 	
-23.35 	-5.6 	14.9 	
35.29 	0.5 	-4.2 	
-38.55 	-9.8 	14.9 	
-0.54 	0 	0 	
41.81 	-5.6 	-4.3 	
-0.54 	0 	-0.9 	
47.24 	0.3 	-3.1 	
13.57 	-10.8 	-11.3 	
-48.33 	2.8 	2.5 	
-0.54 	-0.7 	0.9 	
-12.49 	-10.3 	-6.6 	
-51.58 	6.3 	14.8 	
-35.29 	8.2 	13.9 	
-38.55 	4.7 	8.4 	
